fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2023-09-07;Segovia;52653;37;3042;489;40004;41.166667,-4.0
2023-09-07;Ávila;57850;34;3804;657;5019;40.616092,-4.929031
2023-09-07;Burgos;130722;28;8436;1204;9059;42.383333,-3.666667
2023-09-07;Valladolid;198982;123;13532;1800;47186;41.583333,-4.666667
2023-09-06;Segovia;52602;24;3037;489;40004;41.166667,-4.0
2023-09-06;Burgos;130681;22;8425;1200;9059;42.383333,-3.666667
2023-09-06;Soria;35669;20;2322;398;42173;41.666667,-2.666667
2023-09-06;Valladolid;198870;79;13521;1800;47186;41.583333,-4.666667
2023-09-06;Ávila;57782;24;3802;657;5019;40.616092,-4.929031
2023-09-06;León;152643;85;10697;1758;24089;42.666667,-6.0
2023-09-06;Palencia;68695;32;4549;764;34120;42.432128,-4.520647
2023-09-06;Salamanca;120455;48;7640;1286;37274;40.833333,-6.0
2023-09-06;Zamora;59517;24;4282;763;49275;41.75,-6.0
2023-09-05;Ávila;57758;30;3802;657;5019;40.616092,-4.929031
2023-09-05;Burgos;130659;28;8407;1200;9059;42.383333,-3.666667
2023-09-05;Palencia;68663;34;4549;764;34120;42.432128,-4.520647
2023-09-05;Segovia;52578;15;3034;489;40004;41.166667,-4.0
2023-09-05;Valladolid;198791;71;13507;1799;47186;41.583333,-4.666667
2023-09-05;Zamora;59493;26;4279;763;49275;41.75,-6.0
2023-09-05;Salamanca;120407;74;7633;1286;37274;40.833333,-6.0
2023-09-05;León;152558;73;10693;1758;24089;42.666667,-6.0
2023-09-05;Soria;35649;20;2321;398;42173;41.666667,-2.666667
2023-09-04;Valladolid;198720;88;13494;1799;47186;41.583333,-4.666667
2023-09-04;Ávila;57728;36;3802;657;5019;40.616092,-4.929031
2023-09-04;Salamanca;120333;49;7629;1286;37274;40.833333,-6.0
2023-09-04;Zamora;59467;30;4277;763;49275;41.75,-6.0
2023-09-04;Burgos;130631;35;8405;1200;9059;42.383333,-3.666667
